scene,frames,C,R3,semantic_coverage_unchanged,guided_recovery_maskveto,unknown_contract,raw_unknown
scannet/scene0030_00,126,0.4564787499594774,0.5314379572297684,0.5944327379215699,0.5377378675397931,0.5403831815087367,0.5385548027360846
orbbec/scan_20260909_142829_5ef1fa,242,0.21332227245361163,0.13869847907744834,0.35752746002683705,0.16892501559305456,0.14356908380937936,0.14329049821937376
scannet/scene0050_00,234,0.3760911131432372,0.47071301825186834,0.5627950842934173,0.4766584203118326,0.4896815454605393,0.47226100143045113
scannet/scene0011_00,120,0.30909696624923044,0.387855255877746,0.5019111928492943,0.3907444495530809,0.39772877816135843,0.3981301091776221
3rscan/00d42bed-778d-2ac6-86a7-0e0e5f5f5660,6,0.011156510608067806,0.007969733999655967,0.015110660343005735,0.009792664046949385,0.007971967982557062,0.007846864940095748
